 secu_abbr chi_name listed_state secu_code secu_market listed_sector hs_code
0 平安银行 平安银行股份有限公司 上市 000001 深圳证券交易所 主板 000001.SZ
1 "万  科Ａ" 万科企业股份有限公司 上市 000002 深圳证券交易所 主板 000002.SZ
2 国华网安 深圳国华网安科技股份有限公司 上市 000004 深圳证券交易所 主板 000004.SZ
3 "ST 星 源" 深圳世纪星源股份有限公司 上市 000005 深圳证券交易所 主板 000005.SZ
4 深振业Ａ 深圳市振业(集团)股份有限公司 上市 000006 深圳证券交易所 主板 000006.SZ
5 "*ST 全新" 深圳市全新好股份有限公司 上市 000007 深圳证券交易所 主板 000007.SZ
6 神州高铁 神州高铁技术股份有限公司 上市 000008 深圳证券交易所 主板 000008.SZ
7 中国宝安 中国宝安集团股份有限公司 上市 000009 深圳证券交易所 主板 000009.SZ
8 美丽生态 深圳美丽生态股份有限公司 上市 000010 深圳证券交易所 主板 000010.SZ
9 深物业Ａ 深圳市物业发展(集团)股份有限公司 上市 000011 深圳证券交易所 主板 000011.SZ
10 "南  玻Ａ" 中国南玻集团股份有限公司 上市 000012 深圳证券交易所 主板 000012.SZ
11 沙河股份 沙河实业股份有限公司 上市 000014 深圳证券交易所 主板 000014.SZ
12 深康佳Ａ 康佳集团股份有限公司 上市 000016 深圳证券交易所 主板 000016.SZ
13 深中华Ａ 深圳中华自行车(集团)股份有限公司 上市 000017 深圳证券交易所 主板 000017.SZ
14 深粮控股 深圳市深粮控股股份有限公司 上市 000019 深圳证券交易所 主板 000019.SZ
15 深华发Ａ 深圳中恒华发股份有限公司 上市 000020 深圳证券交易所 主板 000020.SZ
16 "深 科 技" 深圳长城开发科技股份有限公司 上市 000021 深圳证券交易所 主板 000021.SZ
17 招商港口 招商局港口集团股份有限公司 上市 001872 深圳证券交易所 主板 001872.SZ
18 深天地Ａ 深圳市天地(集团)股份有限公司 上市 000023 深圳证券交易所 主板 000023.SZ
19 "特  力Ａ" 深圳市特力(集团)股份有限公司 上市 000025 深圳证券交易所 主板 000025.SZ
20 "飞 亚 达" 飞亚达精密科技股份有限公司 上市 000026 深圳证券交易所 主板 000026.SZ
21 深圳能源 深圳能源集团股份有限公司 上市 000027 深圳证券交易所 主板 000027.SZ
22 国药一致 国药集团一致药业股份有限公司 上市 000028 深圳证券交易所 主板 000028.SZ
23 深深房Ａ 深圳经济特区房地产(集团)股份有限公司 上市 000029 深圳证券交易所 主板 000029.SZ
24 富奥股份 富奥汽车零部件股份有限公司 上市 000030 深圳证券交易所 主板 000030.SZ
25 "大 悦 城" 大悦城控股集团股份有限公司 上市 000031 深圳证券交易所 主板 000031.SZ
26 深桑达Ａ 深圳市桑达实业股份有限公司 上市 000032 深圳证券交易所 主板 000032.SZ
27 神州数码 神州数码集团股份有限公司 上市 000034 深圳证券交易所 主板 000034.SZ
28 中国天楹 中国天楹股份有限公司 上市 000035 深圳证券交易所 主板 000035.SZ
29 华联控股 华联控股股份有限公司 上市 000036 深圳证券交易所 主板 000036.SZ
30 深南电Ａ 深圳南山热电股份有限公司 上市 000037 深圳证券交易所 主板 000037.SZ
31 "深 大 通" 深圳大通实业股份有限公司 上市 000038 深圳证券交易所 主板 000038.SZ
32 中集集团 中国国际海运集装箱(集团)股份有限公司 上市 000039 深圳证券交易所 主板 000039.SZ
33 东旭蓝天 东旭蓝天新能源股份有限公司 上市 000040 深圳证券交易所 主板 000040.SZ
34 中洲控股 深圳市中洲投资控股股份有限公司 上市 000042 深圳证券交易所 主板 000042.SZ
35 招商积余 招商局积余产业运营服务股份有限公司 上市 001914 深圳证券交易所 主板 001914.SZ
36 深纺织Ａ 深圳市纺织(集团)股份有限公司 上市 000045 深圳证券交易所 主板 000045.SZ
37 泛海控股 泛海控股股份有限公司 上市 000046 深圳证券交易所 主板 000046.SZ
38 京基智农 深圳市京基智农时代股份有限公司 上市 000048 深圳证券交易所 主板 000048.SZ
39 德赛电池 深圳市德赛电池科技股份有限公司 上市 000049 深圳证券交易所 主板 000049.SZ
40 深天马Ａ 天马微电子股份有限公司 上市 000050 深圳证券交易所 主板 000050.SZ
41 方大集团 方大集团股份有限公司 上市 000055 深圳证券交易所 主板 000055.SZ
42 皇庭国际 深圳市皇庭国际企业股份有限公司 上市 000056 深圳证券交易所 主板 000056.SZ
43 "深 赛 格" 深圳赛格股份有限公司 上市 000058 深圳证券交易所 主板 000058.SZ
44 华锦股份 北方华锦化学工业股份有限公司 上市 000059 深圳证券交易所 主板 000059.SZ
45 中金岭南 深圳市中金岭南有色金属股份有限公司 上市 000060 深圳证券交易所 主板 000060.SZ
46 "农 产 品" 深圳市农产品集团股份有限公司 上市 000061 深圳证券交易所 主板 000061.SZ
47 深圳华强 深圳华强实业股份有限公司 上市 000062 深圳证券交易所 主板 000062.SZ
48 中兴通讯 中兴通讯股份有限公司 上市 000063 深圳证券交易所 主板 000063.SZ
49 北方国际 北方国际合作股份有限公司 上市 000065 深圳证券交易所 主板 000065.SZ
50 中国长城 中国长城科技集团股份有限公司 上市 000066 深圳证券交易所 主板 000066.SZ
